name,type_name,sphere_name,position,traits,keywords,text,flavor,shadow,german_name,german_type_name,german_sphere_name,german_position,german_traits,german_keywords,german_text,german_flavor,german_shadow
Dol Guldur Orcs,Enemy,None,89,Dol Guldur. Orc.,None,<b>When Revealed:</b> The first player chooses 1 character currently committed to a quest. Deal 2 damage to that character.,,<b>Shadow:</b> attacking enemy gets 1 [attack]. (3 [attack] instead if this attack is undefended.),,,,,,,,,
Chieftan Ufthak,Enemy,None,90,Dol Guldur. Orc.,None,"Chieftain Ufthak get 2 [attack] for each resource token on him.
<b>Forced:</b> After Chieftain Ufthak attacks, place 1 resource token on him.",,None,,,,,,,,,
Dol Guldur Beastmaster,Enemy,None,91,Dol Guldur. Orc.,None,"<b>Forced:</b> When Dol Guldur Beastmaster attacks, deal it 1 additional shadow card.",,None,,,,,,,,,
Driven by Shadow,Treachery,None,92,,None,"<b>When Revealed:</b> Each enemy and each location currently in the staging area gets 1 [threat] until the end of the phase. If there are no cards in the staging area, Driven by Shadow gains surge.",,"<b>Shadow:</b> Choose and discard 1 attachment from the defending character. (If this attack is undefended, discard all attachments you control.)",,,,,,,,,
The Necromancer's Reach,Treachery,None,93,,None,<b>When Revealed:</b> Deal 1 damage to each exhausted character.,There was an eye in the Dark Tower that did not sleep. He knew that it had become aware of his gaze. A fierce eager will was there. - The Fellowship of the Ring,None,,,,,,,,,
Necromancer's Pass,Location,None,94,Stronghold. Dol Guldur.,None,<b>Travel:</b> The first player must discard 2 cards from his hand at random to travel here.,"""It is clad in a forest of dark fir, where the trees strive one against another and their branches rot and wither. In the midst upon a stony height stands Dol Guldur, where long the hidden Enemy had his dwelling.""
-Haldir, The Fellowship of the Ring",None,,,,,,,,,
Enchanted Stream,Location,None,95,Forest.,None,"While Enchanted Stream is the active location, players cannot draw cards.","""There is one stream, I know, black and strong which crosses the path. That you should neither drink of, nor bathe in; for I have heard that it carries enchantment and a great drowsiness and forgetfulness.""
-Beorn, The Hobbit",None,,,,,,,,,
Forest Spider,Enemy,None,96,Creature. Spider.,None,"<b>Forced:</b> After Forest Spider engages a player, it gets 1 [attack] until the end of the round.",,<b>Shadow:</b> Defending player must choose and discard 1 attachment he controls.,,,,,,,,,
East Bight Patrol,Enemy,None,97,Goblin. Orc.,None,,,"<b>Shadow:</b> attacking enemy gets 1 [attack]. (If this attack is undefended, also raise your threat by 3.)",,,,,,,,,
Black Forest Bats,Enemy,None,98,Creature.,None,"<b>When Revealed:</b> Each player must choose 1 character currently committed to a quest, and remove that character from the quest. (The chosen character does not ready.)","They could not stand that, nor the huge bats, black as a top-hat, either...
-The Hobbit",None,,,,,,,,,
Old Forest Road,Location,None,99,Forest.,None,"<b>Response:</b> After you travel to Old Forest Road, the first player may choose and ready 1 character he controls.","...Beorn had warned them that that way was now often used by the goblins, while the forest-road itself, he had heard, was overgrown and disused on the eastern end and led to impassable marshes where the path had long been lost.
-The Hobbit",None,,,,,,,,,
Forest Gate,Location,None,100,Forest.,None,"<b>Response:</b> After you travel to Forest Gate, the first player may draw 2 cards.","The path itself was narrow and wound in and out among the trunks. Soon the light in the gate was like a little bright hole far behind, and the quiet was so deep that their feet seemed to thump along while the trees leaned over them and listened.
-The Hobbit",None,,,,,,,,,
Dungeon Jailor,Enemy,None,101,Dol Guldur. Orc.,None,"<b>Forced:</b> If Dungeon Jailor is in the staging area after the players have just quested unsuccessfully, shuffle 1 unclaimed objective card from the staging area back into the encounter deck.",,None,,,,,,,,,
Nazgûl of Dol Guldur,Enemy,None,102,Nazgûl.,None,"No attachments can be played on Nazgûl of Dol Guldur.
<b>Forced:</b> When the prisoner is 'rescued', move Nazgûl of Dol Guldur into the staging area.
<b>Forced:</b> After a shadow effect dealt to Nazgûl of Dol Guldur resolves, the engaged player must choose and discard 1 character he controls.",,None,,,,,,,,,
Cavern Guardian,Enemy,None,103,Undead.,Doomed 1.,Doomed 1.,,"<b>Shadow:</b> Choose and discard 1 attachment you control. Discarded  objective cards are returned to the staging area. (If this attack is  undefended, discard all attachments you control.)",,,,,,,,,
Under the Shadow,Treachery,None,104,,None,"<b>When Revealed:</b> Until the end of the phase, raise the total [threat] in the  staging area by X, where X is the number of players in the game.",,<b>Shadow:</b> Defending player raises his threat by the number of enemies  with which he is engaged.,,,,,,,,,
Iron Shackles,Treachery,None,105,,None,"<b>When Revealed:</b> Attach Iron Shackles to the top of the first player's deck. (Counts as a Condition attachment with the text: 'The next time a player would draw 1 or more cards from attached deck, discard Iron Shackles instead.')",,<b>Shadow:</b> Resolve the 'When Revealed' effect of Iron Shackles.,,,,,,,,,
Endless Caverns,Location,None,106,Dungeon.,Doomed 1. Surge.,Doomed 1. Surge.,"""I alone of you have ever been in the dungeons of the Dark Lord, and only in his older and lesser dwelling in Dol Guldur.""
-Gandalf, The Fellowship of the Ring",None,,,,,,,,,
Tower Gate,Location,None,107,Dungeon.,None,"<b>Forced:</b> After travelling to Tower Gate, each player places the top card of his deck, face down in front of him, as if it just engaged him from the staging area. These cards are called 'Orc Guard', and act as enemies with: 1 hit point, 1 [attack], and 1 [defense].","""I myself dared to pass the doors of the Necromancer in Dol Guldur, and secretly explored his ways.""
-Gandalf, The Fellowship of the Ring",None,,,,,,,,,
Gandalf's Map,Objective,None,108,Item.,Guarded. Restricted.,"Guarded. Restricted.
<b>Action:</b> Raise your threat by 2 to claim this objective when it is free of encounters. When claimed, attach Gandalf's Map to a hero you control. (Counts as an attachment. If detached, return Gandalf's Map to the staging area.) Attached hero cannot attack or defend.",,None,,,,,,,,,
Dungeon Torch,Objective,None,109,Item.,Guarded. Restricted.,"Guarded. Restricted.
<b>Action:</b> Raise your threat by 2 to claim this objective when it is free of encounters. When claimed, attach Dungeon Torch to a hero you control. (Counts as an attachment. If detached, return Dungeon Torch to the staging area.)<b>Forced:</b> At the end of each round, raise attached hero's controller's threat by 2.",,None,,,,,,,,,
Shadow Key,Objective,None,110,Item.,Guarded. Restricted.,"Guarded. Restricted.
<b>Action:</b> Raise your threat by 2 to claim this objective when it is free of encounters. When claimed, attach Shadow Key to a hero you control. (Counts as an attachment. If detached, return Shadow Key to the staging area.)<b>Forced:</b> At the end of each round, attached hero suffers 1 damage.",,None,,,,,,,,,
Misty Mountain Goblins,Enemy,None,111,Goblin. Orc.,None,"<b>Forced:</b> After Misty Mountain Goblins attacks, remove 1 progress token from the current quest.",,<b>Shadow:</b> Remove 1 progress token from the current quest. (3 progress tokens instead if this attack is undefended.),,,,,,,,,
Massing at Night,Treachery,None,112,,None,<b>When Revealed:</b> Reveal X additional cards from the encounter deck. X is the number of players in the game.,,<b>Shadow:</b> Deal X shadow cards to this attacker. X is the number of players in the game.,,,,,,,,,
Banks of the Anduin,Location,None,113,Riverland.,None,"<b>Forced:</b> If Banks of the Anduin leaves play, return it to the top of the encounter deck instead of placing it in the discard pile.","Here and there through openings Frodo could catch sudden glimpses of rolling mounds, and far beyond them hills in the sunset, and away on the edge of sight a dark line, where marches the southernmost ranks of the Misty Mountains.
-The Fellowship of the Ring",None,,,,,,,,,
Gladden Fields,Location,None,114,Marshland.,None,"<b>Forced:</b> While Gladden Fields is the active location, each player must raise his threat by an additional point during the refresh phase.","""On a time they took a boat and went down to the Gladden Fields, where there were great beds of iris and flowering reeds.""
-Gandalf, The Fellowship of the Ring",None,,,,,,,,,
Eastern Crows,Enemy,None,115,Creature.,Surge.,"Surge.
<b>Forced:</b> After Eastern Crows is defeated, shuffle it back into the encounter deck.",,<b>Shadow:</b> attacking enemy gets +1 [attack]. (+2 [attack] instead if defending player's threat is 35 or higher.),,,,,,,,,
Evil Storm,Treachery,None,116,,None,<b>When Revealed:</b> Deal 1 damage to each character controlled by each player with a threat of 35 or higher.,"""They say in my land he can govern the storms in the Mountains of Shadow...""
-Boromir, The Fellowship of the Ring",None,,,,,,,,,
Pursued by Shadow,Treachery,None,117,,None,<b>When Revealed:</b> Each player raises his threat by 1 for each character he controls that is not currently committed to a quest.,,"<b>Shadow:</b> Defending player chooses and returns 1 exhausted ally he controls to its owner's hand. If he controls no exhausted allies, raise his threat by 3.",,,,,,,,,
Treacherous Fog,Treachery,None,118,,None,"<b>When Revealed:</b> Each location in the staging area gets +1 [threat] until the end of the phase. Then, each player with a threat of 35 or higher chooses and discards 1 card from his hand.","""But it will be hard to find the path unless the fog lifts a little later on.""
-Aragorn, The Fellowship of the Ring",None,,,,,,,,,
Flies and Spiders,Quest,None,119,,None,"<b>Setup:</b> Search the encounter deck for 1 copy of the ~Forest ~Spider and 1 copy of the Old ~Forest ~Road, and add them to the staging area. Then, shuffle the encounter deck.","You are traveling through Mirkwood forest, carrying an urgent message from King Thanduil to the Lady Galadriel of Lorien. As you move along the dark trail, the spiders gather around you...",None,,,,,,,,,
A Fork in the Road,Quest,None,120,,None,"<b>Side A</b>  <b>Side B</b> <b>Forced:</b> When you defeat this stage, proceed to one of the 2 ""A Chosen ~Path"" stages, at random.","As you move through Mirkwood, hounded by spiders, the forest path forks before you...",None,,,,,,,,,
A Chosen Path,Quest,None,121,,None,"<b>Side A</b>  <b>Side B</b> <b>When Revealed:</b> Each player must search the encounter deck and discard pile for 1 Spider card of his choice, and add it to the staging area.
The players must find and defeat Ungoliant's Spawn to win this game.","The trail winds into one of the darkest, most tangled parts of the forest...

You sense that foul, dark presence is hunting you, and you move quickly in an attempt to avoid its evil.",None,,,,,,,,,
A Chosen Path,Quest,None,122,,None,"<b>Side A</b>  <b>Side B</b> Players cannot defeat this stage while Ungoliant's Spawn is in play. If players defeat this stage, they have won the game.","The trail winds into one of the darkest, most tangled parts of the forest...

You sense that foul, dark presence is hunting you, and you move quickly in an attempt to avoid its evil.",None,,,,,,,,,
The Necromancer's Tower,Quest,None,123,,None,"<b>Side A</b> <b>Setup:</b> Search the encounter deck for the 3 objective cards, reveal and place them in the staging area. Also, place the Nazgul of Dol Guldur face up but out of play, alongside the quest deck. Then, shuffle the encounter deck, and attach 1 encounter to each objective card. <b>Side B</b> <b>When Revealed:</b> Randomly select 1 hero card (among all the heroes controlled by the players) and turn it facedown. The hero is now considered a ""prisoner"", cannot be used, cannot be damaged, and does not collect resources, until it is ""rescued"" (as instructed by card effects) later in this quest.
The players, as a group, cannot play more than 1 ally card each round.
Players cannot advance to the next stage of this quest unless they have at least 1 objective card.","The Lady Galadriel of Lorien has asked you to investigate the area in the vicinity of Dol Guldar. While doing so, one of your allies was ambushed by Orcs, captured, and is now held in a dungeon cell...",None,,,,,,,,,
Through the Caverns,Quest,None,124,,None,"<b>Side A</b>  <b>Side B</b> <b>Response:</b> After placing any number of progress tokens on this card, flip the ""prisoner"" hero card face-up, and place 1 damage toke on it. The hero has been ""rescued"" and may now be used by its controller.
The players, as a group, cannot play more than 1 ally card each round.
Players cannot advance to the next stage of the quest unless they have rescued the prisoner and have all 3 ""Escape from Dol Guldur"" objective cards.","Finding a hidden entrance to the dungeons of Dol Guldur at last, you attempt to make your way through the caverns beneath the hill, searching for your imprisoned friend. The denizens of this labyrinth stand in your way, while the jailors protect the prisoner.",None,,,,,,,,,
Out of the Dungeons,Quest,None,125,,None,"<b>Side A</b>  <b>Side B</b> <b>Forced:</b> At the beginning of each quest phase, each player places the top card of his deck, face down in front of him as if it just engaged him from the staging area. These cards are called ""Orc Guard"" and act as enemies with: 1 hit point, 1 [attack], and 1 [defense].
Players cannot defeat this stage while Nazgul of Dol Guldur is in play. If this stage is defeated and Nazgul of Dol Guldur is not in play, the players have won the game.","Following a thread of sunlight, you discover a cavern opening leading out through the side of the hill. Stationed outside the cave-mouth, however, is a large group of Orcs.",None,,,,,,,,,
To the River...,Quest,None,126,,None,"<b>Side A</b> <b>Setup:</b> Each player reveals 1 card from the top of the encounter deck, and adds it to the staging area. <b>Side B</b> <b>When Revealed:</b> Search the encounter deck for 1 Hill Troll is one is not already in play, and place it in the staging area. Shuffle the encounter deck.
Players cannot defeat this stage while any Hill Troll cards are in play.","Emerging from Mirkwood Forest with an urgent message from Lady Galadriel, you must make your way south along the Anduin River in order to reach the forst of Lórien. As you leave the forest behind, you notice that you are being pursued, and thus quicken your pace...",None,,,,,,,,,
Anduin Passage,Quest,None,127,,None,Reveal 1 additional card from the encounter deck each quest phase. Do not make engagement checks during the encounter phase. (Each player may still optionally engage 1 enemy each encounter phase.),"After defeating the Troll, you are able to board the raft and embark upon a river voyage. As you depart, your enemies pursue, harassing the small vessel as you attempt to navigate the river...",None,,,,,,,,,
Ambush on the Shore,Quest,None,128,,None,"<b>When Revealed:</b> Reveal 2 encounter cards per player, and add them to the staging area.
Skip the staging step of the quest phase for the remainder of the game.
Once there are no enemies in play, the players have won the game.","The ongoing harassment from your enemies has forced your raft to the shore, and you must now confront their ambush head on. If you survive this attack, your path to the Golden Wood should be open before you...",None,,,,,,,,,
Passage Through Mirkwood,Campaign,None,129,,None,"<b>Side A</b> You are playing Campaign Mode.
<b>Setup:</b> Put Mendor into play.
If Mendor leaves play, the players lose the game. <b>Side B</b> Resolution: Each player earns 1 copy of the Mendor's Support boon crd. Add the earned cards to the Campaign Pool.
If Stage 3B was Beorn's Path, add the Ungoliant's Swarm burden card to the Campaign Pool.
If Stage 3B was Don't Leave the Path, add the Lingering Venom burden card to the Campaign Pool.","King Thranduil has assigned a guide, Mendor, to assist you in your passage through Mirkwood Forest.",None,,,,,,,,,
Journey Along the Anduin,Campaign,None,130,,None,"<b>Side A</b> You are playing Campaign Mode.
<b>Setup:</b> Put Mendor into play. Set each copy of Valor and Scarred aside, out of play.
<b>Response:</b> After a Hill Troll is defeated, each player attaches 1 set-side copy of Valor to a hero they control, if able.
<b>Forced:</b> After a character is destroyed by a Hill Troll, each player attaches 1 set-aside copy of Scarred to a hero they control. (Limit once per game.)
If Mendor leaves play, the players lose the game <b>Side B</b> Resolution: Add each copy of Valor and Scarred in play to the Campaign Pool. Record the names of the heroes with Valor and/or Scarred attached in the notes section of the Campaign Log and attach them to those heroes when setting up each subsequent scenario in this campaign.
The hero with the most damage will be taken prisoner at the beginning of Escape from Dol Guldur (in case of a tie, randomly select among the heroes with the most damage.) Record the name of the ""prisoner"" in the notes section of the Campaign Log.",,None,,,,,,,,,
Escape from Dol Guldur,Campaign,None,131,,None,"<b>Side A</b> You are playing Campaign Mode.
<b>Setup:</b> Put Mendor into play. Attached Appointed by Fate to a hero of the first player's choice.
<b>Forced:</b> When a hero would be randomly selected to be a ""prisoner"", the ""prisoner"" from the Campaign Log is selected instead. Each card attached to that hero is turned facedown until that hero is ""rescued."" Mendor is captured as well. Place Mendor facedown next to the prisoner (this does not cause him to leave play). Flip this card over. <b>Side B</b> <b>Response:</b> After the first objective is claimed, flip Mendor face-up and place 1 damage token on him.
Resolution: Determine one of the following:
1) If Mendor is still in play, add Mendor to the Campaign Pool.
If you do, put Mendor into play at the start of each scenario during your next campaign. Each player may include 1 copy of Mendor's Support in their deck during that campaign.
2) If Mendor is not in play, do not adjust the Campaign Pool for your next campaign.","Your guide, Mendor, has also been taken by the enemy!",None,,,,,,,,,
Mendor's Support,Event,Neutral,132,,None,"Only one copy of Mendor's Support can be played each round.
<b>Action:</b> Mendor gets +2 [willpower], +2 [attack], and +2 [defense] until the end of the round.",,None,,,,,,,,,
Valor,Attachment,Neutral,133,Condition.,Permanent.,"Permanent. Limit 1 per hero.
<b>Response:</b> After attached hero is declared as an attacker, exhaust Valor to heal 1 damage from attached hero and deal 1 damage to the defening enemy.",,None,,,,,,,,,
Appointed by Fate,Attachment,Neutral,134,Condition.,None,Attached hero collects 1 additional resource during each resource phase.,"""Yet it is not our part to master all the tides of the world, but to do what is in us for the succour of those years wherein we are set...""
-Gandalf, The Return of the King",None,,,,,,,,,
Mendor,Objective Ally,None,135,Silvan. Scout.,Ranged.,"Ranged.
The first player gains control of Mendor.
<b>Response:</b> After a quest card is defeated, ready Mendor. Then, each player draws 1 card.
If Mendor leaves play, remove him from the game.",,None,,,,,,,,,
Ungoliant's Swarm,Enemy,None,136,Creature. Spider.,None,"<b>Forced:</b> After Ungoliant's Swarm engages a player, that player must choose and exhaust 2 characters they control.",,<b>Shadow:</b> Put Ungoliant's Swarm into play engaged with you.,,,,,,,,,
Lingering Venom,Treachery,None,137,,Surge.,"Surge.
<b>When Revealed:</b> Each player must choose: either exhaust each damaged character you control, or deal 2 damage to the hero you control with the most damage on it.",,<b>Shadow:</b> Exhaust each damaged character you control.,,,,,,,,,
Scarred,Objective,None,138,,Permanent.,"Permanent. Limit 1 per hero.
<b>Forced:</b> After a character you control is destroyed, raise your threat by 1.",,None,,,,,,,,,
